Options in 'main-linux-arm64-working' (PKG/CArchive):
 pyi-contents-directory _internal
Contents of 'main-linux-arm64-working' (PKG/CArchive):
 length, uncompressed_length, is_compressed, typecode, name
 900, 3753, 1, 'x', 'playwright/_impl/_input.py'
 2697, 10159, 1, 'x', 'playwright/_impl/_js_handle.py'
 969, 2616, 1, 'x', 'playwright/_impl/_json_pipe.py'
 1234, 3354, 1, 'x', 'playwright/_impl/_local_utils.py'
 4353, 29128, 1, 'x', 'playwright/_impl/_locator.py'
 580, 1045, 1, 'x', 'playwright/_impl/_map.py'
 7038, 35057, 1, 'x', 'playwright/_impl/_network.py'
 1048, 4134, 1, 'x', 'playwright/_impl/_object_factory.py'
 9482, 51126, 1, 'x', 'playwright/_impl/_page.py'
 551, 958, 1, 'x', 'playwright/_impl/_path_utils.py'
 843, 2091, 1, 'x', 'playwright/_impl/_playwright.py'
 1028, 2636, 1, 'x', 'playwright/_impl/_selectors.py'
 1824, 5502, 1, 'x', 'playwright/_impl/_set_input_files_helpers.py'
 1059, 2403, 1, 'x', 'playwright/_impl/_str_utils.py'
 767, 1673, 1, 'x', 'playwright/_impl/_stream.py'
 1561, 4608, 1, 'x', 'playwright/_impl/_sync_base.py'
 1447, 5134, 1, 'x', 'playwright/_impl/_tracing.py'
 2126, 6227, 1, 'x', 'playwright/_impl/_transport.py'
 974, 2629, 1, 'x', 'playwright/_impl/_video.py'
 1645, 5637, 1, 'x', 'playwright/_impl/_waiter.py'
 595, 1199, 1, 'x', 'playwright/_impl/_web_error.py'
 776, 1472, 1, 'x', 'playwright/_impl/_writable_stream.py'
 270, 513, 1, 'x', 'playwright/_repo_version.py'
 1698, 5529, 1, 'x', 'playwright/async_api/__init__.py'
 846, 2041, 1, 'x', 'playwright/async_api/_context_manager.py'
 124948, 841104, 1, 'x', 'playwright/async_api/_generated.py'
 23426, 142077, 1, 'x', 'playwright/driver/LICENSE'
 57, 63, 1, 'x', 'playwright/driver/README.md'
 72, 80, 1, 'x', 'playwright/driver/package/.local-browsers/.links/f39dc5f235ad31de3871bd972e0eeb565370cc6e'
